stock_no,name,currency,volume,close
1,CKH HOLDINGS,HKD,2294978,74.5
2,CLP HOLDINGS,HKD,1479888,82.45
3,HK &amp; CHINA GAS,HKD,8686707,15.26
4,WHARF HOLDINGS,HKD,4049970,19.98
5,HSBC HOLDINGS,HKD,14629077,60.9
6,POWER ASSETS,HKD,1531738,57.15
7,HK FINANCE INV,HKD,8656000,0.83
8,PCCW,HKD,6253303,4.61
9,NINE EXPRESS,HKD,630000,0.104
10,HANG LUNG GROUP,HKD,954336,19.5
11,HANG SENG BANK,HKD,937327,162.2
12,HENDERSON LAND,HKD,2720326,38.25
14,HYSAN DEV,HKD,710816,30.7
15,VANTAGE INT'L,HKD,312000,0.49
16,SHK PPT,HKD,3536349,118.5
17,NEW WORLD DEV,HKD,8667769,10.7
18,ORIENTAL PRESS,HKD,452000,0.58
19,SWIRE PACIFIC A,HKD,842270,72.9
20,WHEELOCK,HKD,476600,52.25
21,GREAT CHI PPT,HKD,10000,0.122
22,MEXAN,HKD,0,0.177
23,BANK OF E ASIA,HKD,517142,17.74
24,BURWILL,HKD,0,
25,CHEVALIER INT'L,HKD,10000,11.7
26,CHINA MOTOR BUS,HKD,3200,118.0
27,GALAXY ENT,HKD,20168636,60.7
28,TIAN AN,HKD,81000,3.48
29,DYNAMIC HOLD,HKD,32000,11.7
30,BAN LOONG HOLD,HKD,2772000,0.34
31,CHINA AEROSPACE,HKD,2713760,0.48
32,CROSS-HAR(HOLD),HKD,33871,12.2
33,CLOUD COPPER,HKD,171000,0.112
34,KOWLOON DEV,HKD,235000,9.8
35,FE CONSORT INTL,HKD,1061655,3.8
36,FE HLDGS INTL,HKD,6000,0.214
37,FE HOTELS,HKD,0,0.208
38,FIRST TRACTOR,HKD,1452000,1.79
39,CH BEIDAHUANG,HKD,11680000,0.09
40,GOLD PEAK,HKD,125000,0.82
41,GREAT EAGLE H,HKD,64000,26.5
42,NE ELECTRIC,HKD,184000,0.55
43,C.P. POKPHAND,HKD,2555552,0.66
45,HK&amp;S HOTELS,HKD,140050,8.5
46,COMPUTER &amp; TECH,HKD,46000,3.17
