stock_no,price,trade_type,volume
1,68.65,,490500
1,68.65,U,2000
1,68.6,,260000
1,68.8,,361500
1,68.85,,464500
1,68.95,,129500
1,68.65,D,124
1,68.75,X,500
1,68.9,,328500
1,68.875,X,15500
1,68.925,X,19500
1,68.8,Y,4500
1,68.9,Y,15000
1,68.85,Y,2500
1,68.85,X,5000
1,69.0,,89000
1,69.05,,69500
1,68.5,D,198
1,68.85,D,370
1,69.025,X,4500
1,69.1,,178500
1,69.05,Y,5500
1,69.1,Y,9500
1,69.05,X,6500
1,69.15,,52000
1,69.075,X,3500
1,69.2,,57000
1,69.2,Y,1000
1,69.15,Y,500
1,69.25,,78500
1,69.3,,78000
1,69.3,Y,1500
1,69.35,,90500
1,69.4,,155000
1,69.4,Y,14000
1,69.05,D,588
1,69.25,Y,6500
1,69.35,Y,5000
1,69.45,,189000
1,69.5,,73500
1,69.45,Y,1000
1,69.55,,121000
1,69.55,Y,5500
1,69.6,,77500
1,69.6,Y,2000
1,69.5,Y,1000
1,68.7,D,184
1,69.65,,94500
1,69.7,,66500
1,69.75,,155000
1,69.75,Y,2500
1,69.8,,146000
1,69.85,,63500
1,69.8,Y,2500
1,69.55,D,67
1,69.85,Y,3500
1,69.9,,3000
1,69.7,Y,4500
1,69.25,D,50
1,68.95,Y,5000
1,68.2,D,20
1,69.107,D,1
1,68.75,,213500
1,68.775,X,5500
1,68.25,D,857
1,68.825,X,3500
1,68.9,X,3000
1,68.95,D,52
1,68.975,X,1000
1,68.95,X,500
1,68.9,D,43
1,69.1,X,2500
1,68.55,D,200
1,69.15,D,300
1,68.7,,181000
1,68.725,X,500
1,68.6,D,159
1,68.8,X,500
1,68.05,D,362
1,68.7,Y,3000
1,68.65,Y,4500
1,68.65,X,2000
1,68.6,X,5000
1,68.6,Y,1500
1,68.55,,153000
1,68.5,,303500
1,68.5,Y,3500
1,68.45,,754500
1,68.4,,43500
1,68.35,,107000
1,68.35,Y,500
1,68.3,,104000
1,68.25,,208000
1,68.25,Y,3500
1,68.2,,28000
1,68.3,Y,500
1,67.7,D,207
1,68.45,Y,3000
1,68.75,Y,2500
1,68.1,D,220
1,68.55,Y,500
1,68.45,U,71000
2,81.15,P,194
2,81.412,P,1500
2,81.7,,48000
2,81.7,U,3500
2,81.3,,35500
2,81.25,,37500
2,81.2,,12000
2,81.4,,94500
2,81.35,,84500
2,81.3,X,500
2,81.5,,14000
2,81.45,,54500
2,81.35,X,1000
2,81.3,Y,1000
2,81.55,,10000
2,81.6,,1000
2,81.5,X,500
2,81.45,Y,500
2,81.4,Y,500
2,81.35,Y,500
2,81.25,Y,500
2,81.2,Y,500
2,81.15,,11500
2,81.1,,87500
2,81.1,Y,2000
2,81.05,,29500
2,81.05,Y,1500
2,81.0,,23000
2,81.0,Y,8500
2,81.1,D,24
2,80.95,,34500
2,80.9,,51500
2,80.85,,78000
2,80.85,Y,1000
2,80.8,,45500
2,80.75,,38500
2,81.0,D,53
2,80.7,,63000
2,80.65,,113500
2,80.408,D,262
2,80.6,,63500
2,80.6,Y,500
2,80.65,D,540
2,80.1,D,200
2,80.65,Y,1500
2,80.7,Y,3500
2,80.55,,65500
2,80.75,X,500
2,80.9,Y,1000
2,80.85,X,500
2,80.9,X,500
2,80.7,X,500
2,80.75,Y,500
2,80.5,,192500
2,80.5,Y,1000
2,80.45,,182500
2,79.65,D,125
2,80.4,,87000
2,80.425,X,500
2,80.45,Y,2500
2,80.45,X,1500
2,80.4,Y,1500
2,80.475,X,500
2,80.35,,105500
2,80.35,Y,6000
2,80.3,,626500
2,80.35,X,3000
2,79.8,D,317
2,80.3,Y,2000
2,80.25,,244500
2,80.25,Y,10500
2,80.009,D,146
2,80.275,X,1000
2,80.3,X,3000
2,80.25,X,5500
2,80.541,D,25
2,80.2,,266500
2,80.2,X,11500
